fontTitleLarge,google-symbols,V56sed,CpfJee,hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),W4Efsd (4),W4Efsd (5),W4Efsd (6),doJOZc,W4Efsd (7),e4rVHe,qBF1Pd (2),ah5Ghc,M4A5Cf,ah5Ghc (2)
,,,,https://www.google.com/maps/place/%D8%AF%2F+%D8%B9%D9%85%D8%B1%D9%88+%D8%B9%D9%84%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f59481b6dba8d1:0x280f25ade652e97d!8m2!3d31.0853899!4d29.7452664!16s%2Fg%2F11h1k1kgvs!19sChIJ0ajbtoGU9RQRfelS5q0lDyg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,د/ عمرو على,د/ عمرو على,4.9,(18),طبيب أمراض نسائية و توليد,·,طريق اسكندرية مطروح ال٢١ بجوار شارع ردن بيكس,012 80109499,,,Directions,,,·,Closed,· Opens 3 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D9%85%D8%B9%D9%85%D9%84+%D8%A7%D9%84%D9%85%D8%AC%D9%87%D8%B1+%D9%84%D9%84%D8%AA%D8%AD%D8%A7%D9%84%D9%8A%D9%84+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f595d6b1fda32f:0xdb4717fc504d00e7!8m2!3d31.0921822!4d29.7588069!16s%2Fg%2F11nv0x5nhd!19sChIJL6P9sdaV9RQR5wBNUPwXR9s?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,معمل المجهر للتحاليل الطبية,معمل المجهر للتحاليل الطبية,5.0,(8),مركز طبي,·,ابو يوسف بجوار مدرسة أبو يوسف الخاصة اول شارع الكويتة أسفل عيادة دكتور تامر سلطان، الكيلو 17 طريق اسكندرية مطروح,010 07501166,,,Directions,,,·,Closed,· Opens 9 AM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%B1%D8%A7%D9%86%D8%AF%D8%A7+%D8%B5%D8%A7%D8%A8%D8%B1+%D9%85%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f5937ff55e6629:0xcaf91738b792aadf!8m2!3d31.0835409!4d29.7425961!16s%2Fg%2F11h1lb6428!19sChIJKWZe9X-T9RQR36qStzgX-co?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتورة راندا صابر محمد,دكتورة راندا صابر محمد,4.7,(6),طبيب,·,ك١٩ طريق اسكندرية مطروح ابويوسف العجمي,012 83265263,,,Directions,,,·,Closed,· Opens 9 AM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D9%87+%D9%86%D8%AF%D9%8A+%D8%AC%D9%85%D8%A7%D9%84+%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f593007e3a999b:0xf73f5606ab935daa!8m2!3d31.0805757!4d29.7381985!16s%2Fg%2F11w7h6zl7g!19sChIJm5k6fgCT9RQRql2TqwZWP_c?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الدكتوره ندي جمال القاضي,الدكتوره ندي جمال القاضي,,,طبيب,·,,,,,Directions,,,"3PJQ+67Q, Alexandria - Marsa Matrouh Rd",,,,,No reviews,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D9%81%D9%80%D8%B1%D8%AC+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%B0%D9%83%D9%88%D8%B1%D8%A9+%D9%88%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D8%AC%D9%84%D8%AF+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f595781d960695:0xbc97bc9d66339a48!8m2!3d31.1025484!4d29.7772223!16s%2Fg%2F11tc4p197j!19sChIJlQaWHXiV9RQRSJozZp28l7w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور إبراهيم فـرج استشاري الجلدية والتناسلية والذكورة وتجميل الجلد عيادة العجمي,دكتور إبراهيم فـرج استشاري الجلدية والتناسلية والذكورة وتجميل الجلد عيادة العجمي,4.3,(43),طبيب أمراض جلدية,·,"صيدلية نهى, العجمي الطريق الرئيسي الاسكندريه مطروح أمام سنتر بولا للعب الأطفال أعلى, Al Daresa",012 73547788,,,Directions,,,·,Closed,· Opens 1 PM Wed,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A5%D9%8A%D9%87%D8%A7%D8%A8+%D9%81%D8%A4%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f594d2484ff981:0xbefbdb9318fad1c!8m2!3d31.1083219!4d29.7847234!16s%2Fg%2F11h3ht8v2b!19sChIJgflPSNKU9RQRHK2PMbm97ws?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور إيهاب فؤاد,دكتور إيهاب فؤاد,4.2,(14),جراح تقويم عظام,·,"4Q5M+8VH، شارع اسكندرية، مطروح, Alex - Marsa Matrouh",011 46862436,,,Directions,,,·,Closed,· Opens 8 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A8%D9%86%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f595d25615c5b9:0xee96d27e9f955457!8m2!3d31.0883931!4d29.7516075!16s%2Fg%2F11l30hrks9!19sChIJucUVVtKV9RQRV1SVn37Slu4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مركز بنون,مركز بنون,3.5,(15),عيادة طب أطفال,·,Open 24 hours,012 00033133,https://www.facebook.com/Banounhealthgroup?mibextid=ZbWKwL,,Website,,Directions,·,·,,,"3QQ2+9J8, Alexandria - Marsa Matrouh Rd",,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%A5%D9%8A%D9%86%D8%A7%D8%B3+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%B3%D9%85%D9%8A%D8%B9%E2%80%AD/data=!4m7!3m6!1s0x14f594e8c49725ab:0x92a2254bcc07f6!8m2!3d31.1036306!4d29.7781183!16s%2Fg%2F11h3_hzzlj!19sChIJqyWXxOiU9RQR9gfMSyWikgA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتورة إيناس عبد السميع,دكتورة إيناس عبد السميع,4.8,(22),طبيب أمراض نسائية و توليد,·,"بجوار كشرى الحارونى امام صيدلية شكر ومعمل ألفا, El drisa, Alexandria - Marsa Matrouh Rd",012 23278258,,,Directions,,,·,Closed,· Opens 7 PM Wed,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D9%86%D8%A7%D8%B5%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f59481a4818645:0x94cf7c245f71fe8!8m2!3d31.0858632!4d29.7465763!16s%2Fg%2F11h7dt5r3l!19sChIJRYaBpIGU9RQR6B_3RcL3TAk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور أحمد ناصر,دكتور أحمد ناصر,4.0,(3),عيادة جراحة العظام,·,3PPW+8JW، طريق اسكندرية مطروح، بجوار شارع همام,012 72709857,,,Directions,,,,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B5%D8%A8%D8%B1%D9%89+%D9%8A%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x14f594bf4fe7de91:0x1784c0d888b807a1!8m2!3d31.0977707!4d29.7709165!16s%2Fg%2F11h12gpl8v!19sChIJkd7nT7-U9RQRoQe4iNjAhBc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور محمد صبرى يس,دكتور محمد صبرى يس,4.3,(24),طبيب باطنه,·,طريق اسكندرية مطروح مقابل ميدان الهانوفيل، 3QXC+493,011 01062626,https://drsabryclinics.com/,,Website,,Directions,Open,·,· Closes 10 AM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D8%B8%D8%A7%D9%85+%D9%88%D8%A7%D9%84%D9%83%D8%B3%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f59509a1ac64af:0xef8d2ae303df070d!8m2!3d31.0937053!4d29.7630115!16s%2Fg%2F11v0g6hk_t!19sChIJr2SsoQmV9RQRDQffA-Mqje8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الدكتور محمد ابراهيم لجراحة العظام والكسور,عيادة الدكتور محمد ابراهيم لجراحة العظام والكسور,4.8,(32),جراح تقويم عظام,·,"أعلى سوبر ماركت الشامى, Alexandria - Marsa Matrouh Rd",010 01683805,,,Directions,,,·,Closed,· Opens 6 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%AA%D9%88%D9%84%D9%8A+%D8%A7%D9%84%D9%82%D8%B1%D9%88%D9%8A-+%D8%A3%D9%86%D9%81+%D9%88%D8%A3%D8%B0%D9%86+%D9%88%D8%AD%D9%86%D8%AC%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5957ffd6c08c3:0xfedbc3a36674d426!8m2!3d31.0883998!4d29.7524789!16s%2Fg%2F11yw0hqkv8!19sChIJwwhs_X-V9RQRJtR0ZqPD2_4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د محمد متولي القروي- أنف وأذن وحنجرة,عيادة د محمد متولي القروي- أنف وأذن وحنجرة,5.0,(7),عيادة طبية,·,"ك١٩ طريق اسكندرية مطروح، جوار مسجد الصابرين, Abou Youssef",010 69793773,,,Directions,,,·,Closed,· Opens 5:30 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AA%D8%A7%D9%85%D8%B1+%D8%B3%D9%84%D8%B7%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59490bea18d01:0x79cef59132383b76!8m2!3d31.092096!4d29.7587227!16s%2Fg%2F11h6tzsqzc!19sChIJAY2hvpCU9RQRdjs4MpH1znk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة دكتور تامر سلطان,عيادة دكتور تامر سلطان,4.7,(66),طبيب أمراض نسائية و توليد,·,الكيلو١٧.٥ طريق اسكندرية مطروح، أبو يوسف,012 23368365,,,Directions,,,·,Closed,· Opens 1 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D9%85%D8%B9%D9%85%D9%84+%D8%A7%D9%84%D9%85%D8%AC%D9%87%D8%B1+-%D8%A7%D8%A8%D9%88%D9%8A%D9%88%D8%B3%D9%81+%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f595003478eb7b:0x49e669fe49168919!8m2!3d31.0921823!4d29.7588064!16s%2Fg%2F11zdrtf8y1!19sChIJe-t4NACV9RQRGYkWSf5p5kk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,معمل المجهر -ابويوسف العجمى,معمل المجهر -ابويوسف العجمى,5.0,(2),مختبر,·,ابو يوسف، ابو يوسف شارع اسكندرية مطروح الكيلو 17 بجوار مدرسة ابو يوسف الخاصة اول شارع الكويته أسفل عيادة دكتور تامر سلطان,010 07501166,,,Directions,,,·,Closed,· Opens 9 AM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D9%87%D8%AF%D9%89+%D8%A7%D9%84%D9%83%D9%8A%D9%84%D8%A7%D9%86%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5948182edc1ff:0x987751b6c28cb127!8m2!3d31.085964!4d29.7478011!16s%2Fg%2F11fkt7cdmw!19sChIJ_8HtgoGU9RQRJ7GMwrZRd5g?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتورة هدى الكيلانى,دكتورة هدى الكيلانى,3.0,(1),طبيب أمراض نسائية و توليد,·,طريق اسكندرية مطروح ال٢١ بجوار شارع ردن بيكس,010 20889905,,,Directions,,,·,Closed,· Opens 5 PM,,,,,,,
,,,,https://www.google.com/maps/place/Altaher+Medical+center/data=!4m7!3m6!1s0x14f5949a9220064b:0xa1a6b74b3a9fc77a!8m2!3d31.0909185!4d29.7560465!16s%2Fg%2F11gblszk3w!19sChIJSwYgkpqU9RQResefOku3pqE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Altaher Medical center,,4.3,(34),مستشفى متخصص,·,Open 24 hours,012 11181622,https://www.facebook.com/eltahercentre/,,Website,,Directions,·,Alexandria - Marsa Matrouh Rd,,,·,,Altaher Medical center,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF+%D8%A7%D9%84%D8%A7%D8%A1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D9%84%D9%8A+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A%D8%A9+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A1+%D9%88%D8%A7%D9%84%D8%AA%D9%88%D9%84%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f595d280f091f3:0xf13a77fe2270c3e6!8m2!3d31.0938566!4d29.7634883!16s%2Fg%2F11xzrmc42f!19sChIJ85HwgNKV9RQR5sNwIv53OvE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د الاء محمد علي أخصائية النساء والتوليد,عيادة د الاء محمد علي أخصائية النساء والتوليد,5.0,(1),طبيب أمراض نسائية و توليد,·,"الاسكندريه مطروح, Gomaa Moftah",010 14218672,https://www.facebook.com/dralaaaliclinic/,,Website,,Directions,Closed,·,· Opens 5 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B0%D9%83%D9%88%D8%B1%D8%A9+%D9%88+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D8%A7%D9%84%D8%A8%D9%88%D9%84%D9%8A%D8%A9-+%D8%AF%2F+%D8%B9%D9%84%D8%A7%D8%A1+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%87%D8%A7%D8%AF%D9%89+%D8%A7%D9%84%D8%B5%D8%BA%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f63becc5880ddb:0xc537c265d23d45ce!8m2!3d31.0970877!4d29.7691582!16s%2Fg%2F11rs0l8589!19sChIJ2w2Ixew79hQRzkU90mXCN8U?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الذكورة و المسالك البولية- د/ علاء عبدالهادى الصغير,عيادة الذكورة و المسالك البولية- د/ علاء عبدالهادى الصغير,4.5,(20),عيادة مسالك بولية,·,"أمام مدرسه محمد نجيب فوق عصير اولاد الشيخ الدور التاني, Alexandria - Marsa Matrouh Rd",012 23641864,https://www.facebook.com/DrAlaaElsaghier?mibextid=JRoKGi,,Website,,Directions,·,·,Closed,,· Opens 7 PM,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B4%D8%B1%D9%8A%D9%81+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f594c7501c0983:0xd941cfd1ffff5631!8m2!3d31.0987552!4d29.7721856!16s%2Fg%2F11fks2cbnd!19sChIJgwkcUMeU9RQRMVb__9HPQdk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور شريف عبد الجواد,دكتور شريف عبد الجواد,4.5,(12),طبيب باطنه,·,Closed,012 28949659,https://www.vezeeta.com/ar/dr/%D8%AF%D9%83%D8%AA%D9%88%D8%B1-%D8%B4%D8%B1%D9%8A%D9%81-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF-%D8%A8%D8%A7%D8%B7%D9%86%D8%A9,,Website,,Directions,"3QXC+GV3 امام ميدان الهانوفيل, Alexandria - Marsa Matrouh Rd",·,· Opens 5 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f59513c78eec65:0xec9fdcf89bf73034!8m2!3d31.0921598!4d29.7598424!16s%2Fg%2F11nnpvhytc!19sChIJZeyOxxOV9RQRNDD3m_jcn-w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور أحمد عبدالجواد,دكتور أحمد عبدالجواد,4.6,(30),طبيب أطفال,·,Closed,010 61582061,http://fb.me/gawad.clinic,,Website,,Directions,Alexandria - Marsa Matrouh Rd,·,· Opens 2 PM,,,,,,,
